Participant,Trial,State,Deviant,Concurrent_Articulation,I1,I2,I3,I4,I5,I6,I7,I8,O1,O2,O3,O4,O5,O6,O7,O8
9,3,SS,No_Deviant,No_Concurrent_Articulation,5,8,1,7,2,3,6,4,2,5,8,1,7,3,6,4
9,4,SS,No_Deviant,No_Concurrent_Articulation,3,6,1,8,2,5,7,4,3,6,1,8,2,5,7,4
9,5,SS,No_Deviant,No_Concurrent_Articulation,6,4,7,2,8,5,1,3,6,4,7,2,8,5,1,3
9,6,SS,No_Deviant,No_Concurrent_Articulation,6,2,8,3,7,4,1,5,6,2,8,3,7,4,1,5
9,1,SS,With_Deviant,No_Concurrent_Articulation,2,6,5,3,7,1,8,4,2,7,5,3,8,1,4,6
9,2,SS,With_Deviant,No_Concurrent_Articulation,4,1,6,8,6,5,2,7,4,1,6,8,3,5,2,7
9,3,SS,With_Deviant,No_Concurrent_Articulation,5,4,6,8,2,3,1,7,5,1,4,8,2,6,3,7
9,4,SS,With_Deviant,No_Concurrent_Articulation,6,1,5,7,2,3,4,8,6,2,5,7,3,1,4,8
9,5,SS,With_Deviant,No_Concurrent_Articulation,8,5,2,6,4,7,3,1,8,5,2,6,4,7,3,1
9,6,SS,With_Deviant,No_Concurrent_Articulation,5,7,4,2,6,8,3,1,5,7,4,2,6,8,3,1
9,1,SS,No_Deviant,With_Concurrent_Articulation,6,1,8,2,4,5,0,0,6,1,3,8,4,2,5,7
9,2,SS,No_Deviant,With_Concurrent_Articulation,7,3,6,2,0,0,0,5,7,3,6,2,4,8,1,5
9,3,SS,No_Deviant,With_Concurrent_Articulation,7,4,3,6,0,0,0,0,7,4,8,6,2,5,1,3
9,4,SS,No_Deviant,With_Concurrent_Articulation,2,3,6,1,7,4,5,8,2,6,1,3,7,4,8,5
9,5,SS,No_Deviant,With_Concurrent_Articulation,3,6,7,1,4,0,0,0,3,7,4,6,1,8,5,2
9,6,SS,No_Deviant,With_Concurrent_Articulation,6,0,0,0,0,0,0,0,6,8,4,2,5,7,3,1
9,1,SS,With_Deviant,With_Concurrent_Articulation,3,6,5,1,4,2,0,0,3,6,8,4,2,5,7,1
9,2,SS,With_Deviant,With_Concurrent_Articulation,3,6,8,4,5,2,1,6,3,6,8,4,2,5,7,1
9,3,SS,With_Deviant,With_Concurrent_Articulation,3,1,8,6,7,2,4,5,3,1,6,8,4,2,5,7
9,4,SS,With_Deviant,With_Concurrent_Articulation,3,5,4,7,0,0,0,0,3,5,7,4,8,2,6,1
9,5,SS,With_Deviant,With_Concurrent_Articulation,4,6,2,8,3,5,7,1,4,6,2,8,3,5,7,1
9,6,SS,With_Deviant,With_Concurrent_Articulation,3,6,8,1,5,2,0,0,3,5,8,6,1,4,2,7
10,1,SS,No_Deviant,No_Concurrent_Articulation,3,6,8,7,5,4,0,2,3,6,8,1,7,5,2,4
10,2,SS,No_Deviant,No_Concurrent_Articulation,8,4,7,1,5,6,3,2,8,4,7,1,6,3,5,2
10,3,SS,No_Deviant,No_Concurrent_Articulation,2,5,8,1,7,3,6,4,2,5,8,1,7,3,6,4
10,4,SS,No_Deviant,No_Concurrent_Articulation,3,6,1,8,2,5,7,4,3,6,1,8,2,5,7,4
10,5,SS,No_Deviant,No_Concurrent_Articulation,6,4,7,2,8,5,1,3,6,4,7,2,8,5,1,3
10,6,SS,No_Deviant,No_Concurrent_Articulation,6,2,8,3,7,4,1,5,6,2,8,3,7,4,1,5
10,1,SS,With_Deviant,No_Concurrent_Articulation,2,7,5,3,8,1,4,6,2,7,5,3,8,1,4,6
10,2,SS,With_Deviant,No_Concurrent_Articulation,4,1,6,8,3,5,2,7,4,1,6,8,3,5,2,7
10,3,SS,With_Deviant,No_Concurrent_Articulation,5,8,4,1,2,3,6,7,5,1,4,8,2,6,3,7
10,4,SS,With_Deviant,No_Concurrent_Articulation,6,0,0,2,3,1,4,8,6,2,5,7,3,1,4,8
10,5,SS,With_Deviant,No_Concurrent_Articulation,8,5,2,7,4,6,1,3,8,5,2,6,4,7,3,1
10,6,SS,With_Deviant,No_Concurrent_Articulation,5,7,4,2,6,8,1,0,5,7,4,2,6,8,3,1
10,1,SS,No_Deviant,With_Concurrent_Articulation,0,0,0,5,1,4,3,7,6,2,5,1,4,7,3,8
10,2,SS,No_Deviant,With_Concurrent_Articulation,7,6,5,3,0,0,2,7,7,1,5,3,6,4,2,8
10,3,SS,No_Deviant,With_Concurrent_Articulation,4,7,1,6,0,0,3,2,4,7,1,6,2,5,8,3
