Participant,Concurrent_Articulation,State,Deviant,pCorrect
19,With_Concurrent_Articulation,SS,No_Deviant,1.000
19,With_Concurrent_Articulation,SS,With_Deviant,1.000
19,With_Concurrent_Articulation,CS,No_Deviant,0.833
19,With_Concurrent_Articulation,CS,With_Deviant,0.833
20,No_Concurrent_Articulation,SS,No_Deviant,0.833
20,No_Concurrent_Articulation,SS,With_Deviant,0.667
20,No_Concurrent_Articulation,CS,No_Deviant,0.667
20,No_Concurrent_Articulation,CS,With_Deviant,0.500
20,With_Concurrent_Articulation,SS,No_Deviant,0.667
20,With_Concurrent_Articulation,SS,With_Deviant,0.667
20,With_Concurrent_Articulation,CS,No_Deviant,0.667
20,With_Concurrent_Articulation,CS,With_Deviant,0.500
21,No_Concurrent_Articulation,SS,No_Deviant,0.500
21,No_Concurrent_Articulation,SS,With_Deviant,0.833
21,No_Concurrent_Articulation,CS,No_Deviant,0.833
21,No_Concurrent_Articulation,CS,With_Deviant,0.667
21,With_Concurrent_Articulation,SS,No_Deviant,0.667
21,With_Concurrent_Articulation,SS,With_Deviant,0.667
21,With_Concurrent_Articulation,CS,No_Deviant,0.667
21,With_Concurrent_Articulation,CS,With_Deviant,0.667
22,No_Concurrent_Articulation,SS,No_Deviant,0.667
22,No_Concurrent_Articulation,SS,With_Deviant,0.500
22,No_Concurrent_Articulation,CS,No_Deviant,0.667
22,No_Concurrent_Articulation,CS,With_Deviant,0.667
22,With_Concurrent_Articulation,SS,No_Deviant,0.667
22,With_Concurrent_Articulation,SS,With_Deviant,0.500
22,With_Concurrent_Articulation,CS,No_Deviant,0.833
22,With_Concurrent_Articulation,CS,With_Deviant,0.667
23,No_Concurrent_Articulation,SS,No_Deviant,0.333
23,No_Concurrent_Articulation,SS,With_Deviant,0.333
23,No_Concurrent_Articulation,CS,No_Deviant,0.167
23,No_Concurrent_Articulation,CS,With_Deviant,0.333
23,With_Concurrent_Articulation,SS,No_Deviant,0.667
23,With_Concurrent_Articulation,SS,With_Deviant,0.500
23,With_Concurrent_Articulation,CS,No_Deviant,0.500
23,With_Concurrent_Articulation,CS,With_Deviant,0.500
24,No_Concurrent_Articulation,SS,No_Deviant,0.667
24,No_Concurrent_Articulation,SS,With_Deviant,0.500
24,No_Concurrent_Articulation,CS,No_Deviant,0.333
24,No_Concurrent_Articulation,CS,With_Deviant,0.500
24,With_Concurrent_Articulation,SS,No_Deviant,0.667
24,With_Concurrent_Articulation,SS,With_Deviant,1.000
24,With_Concurrent_Articulation,CS,No_Deviant,0.833
24,With_Concurrent_Articulation,CS,With_Deviant,0.833
25,No_Concurrent_Articulation,SS,No_Deviant,0.500
25,No_Concurrent_Articulation,SS,With_Deviant,1.000
25,No_Concurrent_Articulation,CS,No_Deviant,0.833
25,No_Concurrent_Articulation,CS,With_Deviant,1.000
25,With_Concurrent_Articulation,SS,No_Deviant,0.833
25,With_Concurrent_Articulation,SS,With_Deviant,0.833
25,With_Concurrent_Articulation,CS,No_Deviant,0.667
25,With_Concurrent_Articulation,CS,With_Deviant,0.833
26,No_Concurrent_Articulation,SS,No_Deviant,0.500
26,No_Concurrent_Articulation,SS,With_Deviant,0.333
26,No_Concurrent_Articulation,CS,No_Deviant,0.333
26,No_Concurrent_Articulation,CS,With_Deviant,0.333
26,With_Concurrent_Articulation,SS,No_Deviant,0.000
