Participant,Trial,State,Deviant,I1,I2,I3,I4,I5,I6,O1,O2,O3,O4,O5,O6
2,43,SS,No_Deviant,2,8,4,7,1,6,2,8,4,5,3,6
2,44,SS,No_Deviant,5,3,1,6,8,4,5,3,1,2,8,4
2,45,SS,No_Deviant,6,1,7,4,2,8,6,1,7,4,5,3
2,5,SS,With_Deviant,2,7,5,3,8,1,2,7,5,3,2,1
2,8,SS,With_Deviant,4,1,6,8,3,5,4,1,6,3,2,5
2,18,SS,With_Deviant,5,1,4,8,2,6,5,1,4,8,2,6
2,27,SS,With_Deviant,6,2,5,7,3,1,6,2,5,3,1,4
2,35,SS,With_Deviant,8,5,2,6,4,7,8,5,2,3,6,1
2,41,SS,With_Deviant,5,7,4,2,6,8,5,7,4,3,6,8
3,1,CS,No_Deviant,7,4,8,1,5,3,7,4,8,1,5,3
3,2,CS,No_Deviant,3,1,7,4,2,5,3,1,7,4,2,5
3,3,CS,No_Deviant,5,7,1,8,3,6,5,7,1,3,8,6
3,4,CS,No_Deviant,6,2,5,1,4,7,6,2,5,1,4,7
3,6,CS,No_Deviant,8,2,5,7,4,6,8,2,5,7,4,6
3,7,CS,No_Deviant,5,1,7,4,2,8,5,7,1,4,0,6
3,9,CS,No_Deviant,7,4,2,6,1,5,7,4,2,6,1,5
3,10,CS,No_Deviant,2,7,5,1,4,8,2,7,5,1,4,8
3,11,CS,No_Deviant,6,4,7,2,8,3,6,4,7,2,8,3
3,12,CS,No_Deviant,5,7,2,8,1,4,5,7,2,8,4,0
3,13,CS,No_Deviant,8,3,6,2,5,7,8,3,6,2,5,7
3,14,CS,No_Deviant,3,1,7,4,6,8,3,1,7,4,6,7
3,15,CS,No_Deviant,5,7,3,6,2,4,5,7,3,6,2,4
3,16,CS,No_Deviant,8,1,6,3,5,2,8,1,6,3,5,2
3,17,CS,No_Deviant,4,2,8,6,3,7,4,2,8,6,3,7
3,19,CS,No_Deviant,4,2,8,6,3,5,4,2,8,6,3,5
3,20,CS,No_Deviant,2,6,4,8,1,7,2,6,4,8,1,7
3,21,CS,No_Deviant,5,2,7,3,8,4,5,2,7,3,4,8
3,22,CS,No_Deviant,4,6,2,8,5,3,4,6,2,8,5,3
3,23,CS,No_Deviant,3,1,8,5,2,6,3,1,8,5,2,6
3,24,CS,No_Deviant,2,4,7,1,8,5,2,4,7,1,8,5
3,25,CS,No_Deviant,8,1,5,2,6,3,8,1,5,2,6,0
3,26,CS,No_Deviant,4,6,3,7,2,8,4,6,3,7,1,8
3,28,CS,No_Deviant,7,3,1,6,2,5,7,3,1,6,5,2
3,29,CS,No_Deviant,4,8,6,3,7,2,4,8,6,3,7,2
3,30,CS,No_Deviant,3,1,7,5,2,6,3,7,1,5,2,6
3,31,CS,No_Deviant,6,2,8,1,4,7,6,2,8,1,4,7
3,32,CS,No_Deviant,4,6,3,7,1,5,4,6,3,7,1,5
3,33,CS,No_Deviant,5,3,6,4,2,8,5,3,6,4,2,8
3,34,CS,No_Deviant,6,8,4,7,1,3,6,8,4,7,1,3
3,36,CS,No_Deviant,5,2,8,1,7,4,5,2,8,7,1,4
3,37,CS,No_Deviant,8,5,1,7,3,6,8,5,1,7,6,3
3,38,CS,No_Deviant,3,7,4,2,6,8,3,7,4,2,6,8
3,39,CS,No_Deviant,5,2,7,3,1,6,5,2,7,3,1,6
3,40,CS,No_Deviant,4,7,2,6,8,3,2,4,7,6,8,3
3,42,CS,No_Deviant,4,7,3,8,5,2,4,7,3,8,5,2
3,43,CS,No_Deviant,5,3,7,2,4,1,5,3,7,4,2,1
3,44,CS,No_Deviant,4,1,8,6,2,5,4,1,8,6,2,5
3,45,CS,No_Deviant,6,2,4,7,3,1,6,4,2,7,3,1
3,5,CS,With_Deviant,5,8,1,4,7,2,5,8,1,4,7,2
3,8,CS,With_Deviant,2,7,4,1,5,3,2,7,4,1,5,3
3,18,CS,With_Deviant,5,3,7,1,4,6,5,3,7,1,4,6
3,27,CS,With_Deviant,6,2,8,3,5,1,6,2,8,3,5,1
3,35,CS,With_Deviant,4,7,2,5,3,6,4,7,2,5,3,6
3,41,CS,With_Deviant,5,3,7,4,2,8,5,3,7,4,2,8
3,1,SS,No_Deviant,2,5,1,8,4,6,2,5,1,8,4,6
3,2,SS,No_Deviant,7,1,4,2,6,8,7,1,4,2,6,8
3,3,SS,No_Deviant,8,5,2,6,3,7,8,5,2,6,3,7
3,4,SS,No_Deviant,3,6,8,1,7,5,6,3,8,1,7,5
3,6,SS,No_Deviant,5,2,4,6,1,8,5,2,4,6,1,8
3,7,SS,No_Deviant,8,4,7,1,6,3,8,4,1,7,6,3
3,9,SS,No_Deviant,3,6,2,7,5,8,1,6,2,7,5,8
3,10,SS,No_Deviant,2,5,7,4,6,1,2,5,7,4,1,6
3,11,SS,No_Deviant,3,6,2,7,1,4,3,6,2,7,1,4
3,12,SS,No_Deviant,5,2,4,8,3,7,5,2,4,8,3,7
3,13,SS,No_Deviant,8,3,5,1,6,4,8,3,1,4,6,2
3,14,SS,No_Deviant,5,8,3,7,1,6,5,8,3,7,1,6
3,15,SS,No_Deviant,7,5,1,6,4,2,7,5,1,6,4,2
3,16,SS,No_Deviant,4,6,2,8,3,5,4,6,2,8,3,5
3,17,SS,No_Deviant,2,5,8,1,7,3,2,5,8,1,7,3
3,19,SS,No_Deviant,3,8,2,6,1,4,3,8,2,6,1,4
3,20,SS,No_Deviant,7,2,4,8,5,1,2,7,4,8,1,5
